_id;_isbn;_title;_description
160471;9781461410829;Research on e-Learning and ICT in Education;An essential text for researchers and academics seeking the most comprehensive and up-to-date coverage of all aspects of ICT in education and e-learning, this book is a multidisciplinary forum covering technical, pedagogical, organizational, instructional, and policy aspects of the topic.  Special emphasis is given to applied research relevant to educational practice and guided by the educational realities in schools, colleges, universities and informal learning organizations. The volume encompasses the current trends and issues which determine and inform the integration of ICT into educational practice, including teaching and learning, curriculum and instructional design, appropriate learning media and environments, teacher education and professional development, and appropriate assessment and evaluation.
49936;9781461223948;Programming in SCHEME;Scheme provides a flexible and powerful language for programming embodying many of the best features of logical and functional programming. This enjoyable book provides readers with an introduction to programming in Scheme by constructing a series of interesting and re-usable programs. The book includes two diskettes containing MIT Scheme to run on Windows PCs.
50565;9781461239963;Aerospace Sensor Systems and Applications;This book is about aerospace sensors, their principles of operation, and their typical advantages, shortcomings, and vulnerabilities. They are described in the framework of the subsystems where they function and in accordance with the flight mission they are designed to serve. The book is intended for students at the advanced undergraduate or graduate level and for research engineers who need to acquire this kind of knowledge. An effort has been made to explain, within a uniform framework of mathematical modeling, the physics upon which a certain sensor concept is based, its construction, its dynamics, and its error sources and their corresponding mathematical models. Equipped with such knowledge and understanding, the student or research engineer should be able to get involved in research and development activities of guidance, control, and navigation systems and to contribute to the initiation of novel ideas in the aerospace sensor field. As a designer and systems engineer, he should be able to correctly interpret the various items in a technical data list and thus to interact intelligently with manufacturers' representatives and other members of an R&D team. Much of the text has evolved from undergraduate and graduate courses given by the author during the past seventeen years at the Department of Aerospace Engineering at the Technion- Israel Institute of Technology and from his earlier research and development experience in flight control, guidance, navigation, and avionics at the Ministry of Defense Central Research Institute.
48882;9781461218487;Male Infertility and Sexual Dysfunction;Andrology is the fastest growing subspecialty in urology and has recently achieved remarkable advances in the understanding of the erectile mechanism and in reproductive medicine. Male Infertility and Sexual Dysfunction presents all the current avenues of treatment with emphasis on multidisciplinary considerations. Chapters are written by select international authorities presenting indepth coverage of their areas of expertise. Each topic will cover the background, anatomy, physiology, diagnosis, classification, and treatment (medical and/or surgical). Part I focuses on the study of male infertility and includes discussions of the basic sciences, office evaluation, laboratory and imaging techniques, and the use of testicular biopsy. This is followed by specialized chapters dealing with immunologic infertility, genital inflammation, reactive oxygen species, medical management, sperm processing and preventive adolescent andrology. Part II reflects a more diverse format in the coverage of sexual dysfunction and includes discussions of androgen insufficiency, nocturnal penile tumescence studies, neurotransmission, penile neurology, premature ejaculation, psychogenic impotence and the latest medical, noninvasive and surgical treatments.
49056;9780387948140;The Craft of Windows 95™ Interface Design;Good software interface design is as crucial to a product's success as is its functionality. With the availability of visual development tools such as Visual Basic and Visual C++, more and more developers of applications will need to understand and use principles of good interface design. This book will help guide the reader to a better understanding of how to make Windows software simple to navigate and a pleasure to use. The author concentrates on the development of user-interfaces for Windows 95 and NT software and introduces some important design techniques such as prototyping, UI bulking, Rapid Layout Comparison, and the Side-by-Side Design Approach. Readers are assumed to have a working knowledge of development tools such as Visual C++ and to be working with the Microsoft Guidelines for Interface Design.
49450;9783540676652;Basement Regions;The basement regions constitute more than two-thirds of outcropping bedrock material across our planet's continents. During the past 30 years French geomorphologists have contributed greatly to the characterization of some of the laws and patterns of landform evolution in shields and crystaliine areas with changing bioclimatic environments. This volume reflects the search for a better understanding of landscapes and landforms in igneous and metamorphic terrains at different latitudes. Furthermore, it covers a wide field of investigation gathered on four continents and addresses the issue at a wide range of spatial and timescales. It is an ideal volume not only for post-graduate geomorphology students but also for geoscience scholars concerned with igneous petrology, quaternary geology, physical geography, soil science and land use planning.
46773;9780387945187;Computational Economics and Finance;As with the first volume, Volume Two of Economic and Financial Modeling with Mathematica  is edited by Hal Varian, and its contributors are carefully selected by him to assure a high quality, practical work reflecting the efforts and expertise of an international cadre of Mathematica users from the economic, financial, investments, quantitative business and operations research communities.
48344;9783540671985;Dynamics of Rockslides and Rockfalls;Mass movement of rocks in high mountains can severely injure the population and damage man-made structures in these areas. This book focuses on the understanding of the mechanisms of rockslides and rockfalls using a quantitative approach. The range and velocity of these hazards are calculated to serve as a basis for evacuations and other preventive measures. Examples from four continents illustrate the necessity of this kind of information. The book contains a wealth of information for practitioners and scientists working in the field of catastrophe prevention.
38307;9783709166772;The Search for Christian Doppler;It is now 150 years ago, on 25th May 1842, that the son of a Salzburg ston­ emason presented a scientific work  On the coloured light of the double stars and certain other heavenly bodies  at a meeting of the Royal Bo­ hemian Society of Sciences held in Prague. Christian Andreas Doppler, then professor at the Prague Technical Institute, set a milestone in scien­ tific history in the meeting room of the Royal Society in the Charles Uni­ versity, just a few meters from the National Theatre where another genius from Salzburg, Wolfgang Amadeus Mozart, had celebrated his musical triumph with the premiere of his opera Don Giovanni fifty-five years earlier. Doppler's lecture set out in brilliant simplicity what we now call the Doppler principle, which since has found numerous uses in astronomy, which was of primary interest to Christian Doppler. In addition, it has found countless practical applications in physics, navigation, aeronautics, geodesy, medicine, science and technology. In medicine alone, Doppler sonography is now an established diagnostic procedure in the fields of childbirth, cardiology and diseases of the blood vessels, neurology, neuro­ surgery and vascular surgery, and is continually finding new medical appli­ cations in today's world of high technology.
49359;9781461273738;Computer Intensive Methods in Control and Signal Processing;Due to the rapid increase in readily available computing power, a corre­ sponding increase in the complexity of problems being tackled has occurred in the field of systems as a whole. A plethora of new methods which can be used on the problems has also arisen with a constant desire to deal with more and more difficult applications. Unfortunately by increasing the ac­ curacy in models employed along with the use of appropriate algorithms with related features, the resultant necessary computations can often be of very high dimension. This brings with it a whole new breed of problem which has come to be known as  The Curse of Dimensionality  . The expression  Curse of Dimensionality  can be in fact traced back to Richard Bellman in the 1960's. However, it is only in the last few years that it has taken on a widespread practical significance although the term di­ mensionality does not have a unique precise meaning and is being used in a slightly different way in the context of algorithmic and stochastic complex­ ity theory or in every day engineering. In principle the dimensionality of a problem depends on three factors: on the engineering system (subject), on the concrete task to be solved and on the available resources. A system is of high dimension if it contains a lot of elements/variables and/or the rela­ tionship/connection between the elements/variables is complicated.
51392;9781461217206;The Four-Color Theorem;During the university reform of the 1970s, the classical Faculty of Science of the venerable Ludwig-Maximilians-Universitat in Munich was divided into five smaller faculties. One was for mathematics, the others for physics, chemistry and pharmaceutics, biology, and the earth sciences. Nevertheless, in order to maintain an exchange of ideas between the various disciplines and so as not to permit the complete undermining of the original notion of  universitas,,,l the Carl-Friedrich-von-Siemens Foundation periodically invites the pro­ fessors from the former Faculty of Science to a luncheon gathering. These are working luncheons during which recent developments in the various disciplines are presented by means of short talks. The motivation for such talks does not come, in the majority of cases, from the respective subject itself, but from another discipline that is loosely affiliated with it. In this way, the controversy over the modern methods used in the proof of the Four-Color Theorem had also spread to disciplines outside of mathematics. I, as a trained algebraic topologist, was asked to comment on this. Naturally, I was acquainted with the Four-Color 1 A Latin word meaning the whole of something, a collective entirety. Vll viii Preface Problem but, up to that point, had never intensively studied it. As an outsider,2 I dove into the material, not so much to achieve any scientific progress with it but to make this already achieved objective more understandable.
51171;9780387949352;Tibaldo and the Hole in the Calendar;Tibaldo and the Hole in the Calendar is the story of how an eleven-year old boy growing up in 16th century Italy loses his birthday when the Gregorian calendar replaces the Julian calendar in 1582, and how he fights to prevent this loss. The author cleverly weaves elements of the cultural and scientific milieu of his time into an engaging and intelligent tale. Tibaldo's father is a medical assistant, and his sister is a midwife. He grows up learning about current medical practices by watching his father and sister and by listening to the great Professor Turisanus, for whom his father works. Tibaldo is fascinated by medicine and proves himself to be a fast learner, quickly gaining the respect of Professor Turasanus, who becomes a mentor for Tibaldo and sends him to the very best of schools. However, when Tibaldo learns that the Julian calendar is about to be revised, he realizes that he is about to lose his 13th birthday and determines to do something about this. The result is amusing and informative.
118266;9783540346760;Offshore Wind Energy;The accompanying ecological research for using wind energy in the German North and Baltic Seas has brought out a variety of results concerning possible effects on the marine environment. This book provides an overview of the state of the accompanying ecological research in Germany. It shows the relevance of the new results of the research projects for the planning and permission process for offshore wind energy farms.
160584;9783642122255;ICT for the Next Five Billion People;Currently, around one to two billion users are able to connect to the Internet, most of them living in the industrialized parts of the world. However, if we want to improve the quality of life of the world population with the help of access to information and education, it is necessary that in the next decade an additional five billion people gain access to the Internet. The next five billion Internet users are mainly living in emerging economies. Therefore, the main challenge is to lower the economic barrier using new approaches for infrastructure deployment and service delivery to billions of people. This book reflects the discussions of the challenges from the Münchner Kreis with representatives from the ICT industry, academia, non-governmental organizations and governmental development organizations, among them many representatives from emerging economies in Africa and Asia. They had highlighted the real demand for ICT, and what impact ICT creates for the wealth and lifestyle of the people.
135936;9783540713470;Cognitive Economics;As a manifestation of a 'cognitive turn' observable in all social sciences, Cognitive Economics is concerned with the beliefs and mental operations held by actors placed within a dynamical and strategic environment. It appears as a synthesis of an educative research program, dealing with crossed expectations of actors, and an evolutionist research program on collective learning processes. The book mainly aims at extending the framework of game theory in order to better fit the results of rapidly increasing laboratory experiments concerned with individual choices and collective interactions. It also seeks to better explain some original economic phenomena involving boundedly rational agents in an institutional setting such as financial bubbles, job search or technological innovation. Written in an informal way, the book is addressed to philosophers or cognitive scientists curious of how economics deal with cognition, as well as graduate students in economics eager to discover how economic science evolves.
161378;9783642168093;Advanced Digital Preservation;There is growing recognition of the need to address the fragility of digital information, on which our society heavily depends for smooth operation in all aspects of daily life. This has been discussed in many books and articles on digital preservation, so why is there a need for yet one more? Because, for the most part, those other publications focus on documents, images and webpages – objects that are normally rendered to be simply displayed by software to a human viewer. Yet there are clearly many more types of digital objects that may need to be preserved, such as databases, scientific data and software itself.David Giaretta, Director of the Alliance for Permanent Access,  and his contributors explain why the tools and techniques used for preserving rendered objects are inadequate for all these other types of digital objects, and they provide the concepts, techniques and tools that are needed. The book is structured in three parts. The first part is on theory, i.e., the concepts and techniques that are essential for preserving digitally encoded information. The second part then shows practice, i.e., the use and validation of these tools and techniques. Finally, the third part concludes by addressing how to judge whether money is being well spent, in terms of effectiveness and cost sharing.Various examples of digital objects from many sources are used to explain the tools and techniques presented. The presentation style mainly aims at practitioners in libraries, archives and industry who are either directly responsible for preservation or who need to prepare for audits of their archives. Researchers in digital preservation and developers of preservation tools and techniques will also find valuable practical information here. Researchers creating digitally encoded information of all kinds will also need to be aware of these topics so that they can help to ensure that their data is usable and can be valued by others now and in the future.To further assist the reader, the book is supported by many hours of videos and presentations from the CASPAR project and by a set of open source software.
161551;9783642438318;Innovation Policy and Governance in High-Tech Industries;The book examines the conditions for successful high-technology policy from theoretical and empirical perspectives. It enhances the predominant national systems of innovation approach to innovation policy with concepts based on new developments in the govern-ance of complex systems and processes. The conceptual framework of complex networks and systems is used to examine national policy approaches in countries that have created environments conducive to high-technology industries as well as individual high-technology sectors, such as biotechnology, alternative energy, and aerospace. Theoretical and empirical contributions are synthesised into lessons for high-tech policy and further research.
147354;9783642028236;Tissue Engineering;Tissue engineering is a multidisciplinary field incorporating the principles of biology, chemistry, engineering, and medicine to create biological substitutes of native tissues for scientific research or clinical use. Applications of this technology include studies of tissue development and function, investigations of drug response, and tissue repair and replacement. Tissue engineering is rapidly becoming one of the most promising treatment options for patients suffering from tissue failure. This abundantly illustrated and clearly structured guide, written by leading experts, is intended to serve as a reference for all clinicians and researchers who deal with tissue engineering issues in their daily practice and for students studying tissue engineering at both the undergraduate and the graduate level. It will also be invaluable for professionals in related research areas, particularly those where cell and tissue culture is a new or emerging tool. The book is divided into three sections that present the latest findings in tissue engineering and their application in clinical practice. The first section discusses the basics and principles of tissue engineering, including scaffolds, cells, and technologies. The second and third sections then address in detail the tissue engineering of specific organs and tissue types. A visual approach is emphasized throughout, with numerous self-explanatory graphics, diagrams, and photos.
137533;9783540714484;Product Customization;For the majority of industrial companies, customizing products and services is among the most critical means to deliver true customer value and achieve superior competitive advantage. The challenge is not to customize products and services in itself – but to do it in a profitable way.  The implementation of a product configuration system is among the most powerful ways of achieving this in practice, offering a reduction of the lead time for products and quotations. It also achieves faster and more qualified responses to customer inquiries, fewer transfers of responsibility and fewer specification mistakes, a reduction of the resources spent for the specification of customized products, and the possibility of optimizing the products according to customer demands. This book presents an operational procedure for the design of product configuration systems in industrial companies. It is based on the experience gained from more than 40 product configuration projects in companies providing customer tailored products and services.
